date,BPP,CPI
4/9/14,110.072,107.988
4/10/14,110.116,107.988
4/11/14,110.136,107.988
4/12/14,110.163,107.988
4/13/14,110.178,107.988
4/14/14,110.177,107.988
4/15/14,110.173,107.988
4/16/14,110.198,107.988
4/17/14,110.227,107.988
4/18/14,110.237,107.988
4/19/14,110.248,107.988
4/20/14,110.257,107.988
4/21/14,110.277,107.988
4/22/14,110.267,107.988
4/23/14,110.238,107.988
4/24/14,110.257,107.988
4/25/14,110.282,107.988
4/26/14,110.305,107.988
4/27/14,110.319,107.988
4/28/14,110.325,107.988
4/29/14,110.326,107.988
4/30/14,110.34,107.988
5/1/14,110.344,108.344
5/2/14,110.345,108.344
5/3/14,110.325,108.344
5/4/14,110.34,108.344
5/5/14,110.345,108.344
5/6/14,110.341,108.344
5/7/14,110.345,108.344
5/8/14,110.354,108.344
5/9/14,110.351,108.344
5/10/14,110.347,108.344
5/11/14,110.324,108.344
5/12/14,110.319,108.344
5/13/14,110.309,108.344
5/14/14,110.304,108.344
5/15/14,110.301,108.344
5/16/14,110.32,108.344
5/17/14,110.334,108.344
5/18/14,110.332,108.344
5/19/14,110.311,108.344
5/20/14,110.31,108.344
5/21/14,110.315,108.344
5/22/14,110.317,108.344
5/23/14,110.327,108.344
5/24/14,110.314,108.344
5/25/14,110.326,108.344
5/26/14,110.337,108.344
5/27/14,110.343,108.344
5/28/14,110.335,108.344
5/29/14,110.343,108.344
5/30/14,110.354,108.344
5/31/14,110.371,108.344
6/1/14,110.393,108.722
6/2/14,110.424,108.722
6/3/14,110.428,108.722
6/4/14,110.435,108.722
6/5/14,110.437,108.722
6/6/14,110.465,108.722
6/7/14,110.468,108.722
6/8/14,110.454,108.722
6/9/14,110.447,108.722
6/10/14,110.461,108.722
6/11/14,110.503,108.722
6/12/14,110.505,108.722
6/13/14,110.514,108.722
6/14/14,110.53,108.722
6/15/14,110.545,108.722
6/16/14,110.561,108.722
6/17/14,110.574,108.722
6/18/14,110.572,108.722
6/19/14,110.587,108.722
6/20/14,110.598,108.722
6/21/14,110.608,108.722
6/22/14,110.607,108.722
6/23/14,110.624,108.722
6/24/14,110.631,108.722
6/25/14,110.641,108.722
6/26/14,110.646,108.722
6/27/14,110.649,108.722
6/28/14,110.655,108.722
6/29/14,110.646,108.722
6/30/14,110.657,108.722
7/1/14,110.669,108.924
7/2/14,110.666,108.924
7/3/14,110.665,108.924
7/4/14,110.663,108.924
7/5/14,110.659,108.924
7/6/14,110.66,108.924
7/7/14,110.657,108.924
7/8/14,110.659,108.924
7/9/14,110.679,108.924
7/10/14,110.671,108.924
7/11/14,110.641,108.924
7/12/14,110.612,108.924
7/13/14,110.605,108.924
7/14/14,110.595,108.924
7/15/14,110.581,108.924
7/16/14,110.56,108.924
7/17/14,110.552,108.924
7/18/14,110.555,108.924
7/19/14,110.56,108.924
7/20/14,110.547,108.924
7/21/14,110.543,108.924
7/22/14,110.551,108.924
7/23/14,110.552,108.924
7/24/14,110.542,108.924
7/25/14,110.514,108.924
7/26/14,110.493,108.924
7/27/14,110.501,108.924
7/28/14,110.505,108.924
7/29/14,110.504,108.924
7/30/14,110.469,108.924
7/31/14,110.475,108.924
8/1/14,110.46,108.882
8/2/14,110.457,108.882
8/3/14,110.45,108.882
8/4/14,110.472,108.882
8/5/14,110.468,108.882
8/6/14,110.507,108.882
8/7/14,110.503,108.882
8/8/14,110.487,108.882
8/9/14,110.506,108.882
8/10/14,110.517,108.882
8/11/14,110.524,108.882
8/12/14,110.535,108.882
8/13/14,110.55,108.882
8/14/14,110.552,108.882
8/15/14,110.544,108.882
8/16/14,110.554,108.882
8/17/14,110.539,108.882
8/18/14,110.546,108.882
8/19/14,110.542,108.882
8/20/14,110.608,108.882
8/21/14,110.615,108.882
8/22/14,110.612,108.882
8/23/14,110.617,108.882
8/24/14,110.619,108.882
8/25/14,110.646,108.882
8/26/14,110.651,108.882
8/27/14,110.692,108.882
8/28/14,110.696,108.882
8/29/14,110.69,108.882
8/30/14,110.695,108.882
8/31/14,110.7,108.882
9/1/14,110.712,108.7
9/2/14,110.714,108.7
9/3/14,110.725,108.7
9/4/14,110.736,108.7
9/5/14,110.732,108.7
9/6/14,110.739,108.7
9/7/14,110.745,108.7
9/8/14,110.753,108.7
9/9/14,110.749,108.7
9/10/14,110.726,108.7
9/11/14,110.708,108.7
9/12/14,110.7,108.7
9/13/14,110.685,108.7
9/14/14,110.671,108.7
9/15/14,110.669,108.7
9/16/14,110.656,108.7
9/17/14,110.679,108.7
9/18/14,110.641,108.7
9/19/14,110.644,108.7
9/20/14,110.617,108.7
9/21/14,110.613,108.7
9/22/14,110.6,108.7
9/23/14,110.605,108.7
9/24/14,110.623,108.7
9/25/14,110.625,108.7
9/26/14,110.617,108.7
9/27/14,110.62,108.7
9/28/14,110.617,108.7
9/29/14,110.619,108.7
9/30/14,110.616,108.7
10/1/14,110.615,108.782
10/2/14,110.61,108.782
10/3/14,110.593,108.782
10/4/14,110.576,108.782
10/5/14,110.544,108.782
10/6/14,110.526,108.782
10/7/14,110.514,108.782
10/8/14,110.488,108.782
